title,authors,Last Date Read,My Rating,genre,series_type,my_tags,goodreads_shelves
Between Two Fires,Christopher Buehlman,2026/02/22,5.0,Horror,Standalone,"Cosmic Horror, *completed, Historical Fiction, Monster Hunting, Supernatural Horror","Adventure, Christianity, Cosmic Horror, Europe, Fantasy, Fiction, Gothic, Grimdark, Historical Fiction, Horror, Medieval, Monster Hunting, Religion, Supernatural, Supernatural Horror, Thriller"
Katabasis,R. F. Kuang,2026/02/07,3.25,Fantasy,Standalone,"Urban Fantasy, Romance, Historical Fiction","Fantasy, Dark Academia, Fiction, Romance, Historical Fiction, Mythology, Romantasy, Speculative Fiction, Magical Realism, Adventure, Urban Fantasy, Contemporary, Literary"
The Claw of the Conciliator,Gene Wolfe,2026/01/24,3.5,Fantasy,Short Series,"*completed, Classics, Epic Fantasy, Post-Apocalyptic","Adventure, Dystopian, Epic, Epic Fantasy, Fantasy, Fiction, Grimdark, High Fantasy, Military & War, Post-Apocalyptic, Science"
The Shadow of the Torturer,Gene Wolfe,2026/01/17,4.0,Fantasy,Short Series,"*completed, Classics, Epic Fantasy, Post-Apocalyptic","Adventure, Dystopian, Epic, Epic Fantasy, Fantasy, Fiction, Grimdark, High Fantasy, Literary, Military & War, Post-Apocalyptic, Science"
Golden Son,Pierce Brown,2026/01/15,4.75,Science Fiction,Long Series,"Dystopian, *completed, Space Opera","Adventure, Dystopian, Fantasy, Fiction, Military & War, Science, Science Fiction, Space Opera, Young Adult"
Malice,Keigo Higashino,2026/01/06,4.0,Crime Fiction,Short Series,"Detective, Translated, *completed","Asian, Contemporary, Crime, Detective, Fiction, Mystery, Police Procedural, Thriller, Translated"
The Fifth Elephant,Terry Pratchett,2025/12/31,4.0,Fantasy,Short Series,"Humor, Dragons, *completed, Epic Fantasy","Contemporary, Dragons, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Humor, Military & War, Mystery, Science, Urban Fantasy, Young Adult"
The Lions of Al-Rassan,Guy Gavriel Kay,2025/12/29,4.5,Fantasy,Long Series,"Romance, *completed, Historical Fiction, Epic Fantasy","Adventure, Alternate History, Epic, Fantasy, Fiction, High Fantasy, Historical Fiction, Military & War, Mythology, Religion, Romance"
Red Rising,Pierce Brown,2025/12/27,3.5,Science Fiction,Long Series,"Dystopian, *completed, Space Opera","Adventure, Dystopian, Fantasy, Fiction, Military & War, Science, Science Fiction, Space Opera, Young Adult"
Shadows Upon Time,Christopher Ruocchio,2025/12/14,5.0,Science Fiction,Long Series,"First Contact, *completed, Space Opera, Indie, Espionage, Epic Fantasy","Aliens, Contemporary, Epic, Epic Fantasy, Fantasy, Fiction, First Contact, Grimdark, High Fantasy, Horror, Military & War, Mystery, Robots, Space Opera, Technology, Thriller"
Interview With the Vampire,Anne Rice,2025/11/29,2.25,Fantasy,Long Series,"Urban Fantasy, Romance, *completed, Historical Fiction, Supernatural Horror","Fantasy, Fiction, Gothic, Grimdark, Historical Fiction, Horror, LGBTQ, Mystery, Mythology, Romance, Supernatural, Supernatural Horror, Thriller, Urban Fantasy, Vampires"
Slaughterhouse-Five,Kurt Vonnegut Jr.,2025/11/08,5.0,Fantasy,Standalone,"Humor, *completed, Classics, Time Travel","Classics, Dystopian, Fantasy, Fiction, Humor, Literary, Military & War, Time Travel, World War II"
Frankenstein,Mary Shelley,2025/11/04,3.75,Science Fiction,Standalone,"Classics, *completed, Sci-Fi Horror","Speculative Fiction, Fiction, Fantasy, Horror, Science Fiction, Sci-Fi Horror, Classics, Historical Fiction, Literary, Thriller, Gothic, Dark Academia"
Pet Sematary,Stephen King,2025/10/31,4.5,Horror,Standalone,"Supernatural Horror, *completed","Contemporary, Fantasy, Fiction, Horror, Mystery, Supernatural, Supernatural Horror, Thriller, Zombies"
Moving Pictures,Terry Pratchett,2025/10/29,3.5,Fantasy,Short Series,"Humor, Classics, *completed","Adventure, Fantasy, Fiction, High Fantasy, Humor, Military & War, Mystery, Science, Urban Fantasy, Vampires, Young Adult"
Challenger,Adam Higginbotham,2025/10/19,4.25,Nonfiction,Standalone,"History, *completed, Biography, Nonfiction, Aerospace","20th Century, Aerospace, Americas, Biography, History, Nonfiction, Reference, Science, Technology"
Discovery,J. A. J. Minton,2025/10/18,4.25,Horror,Short Series,"First Contact, Cosmic Horror, *completed, Indie","Fantasy, Fiction, First Contact, Horror, Indie, Mystery"
Disquiet Gods,Christopher Ruocchio,2025/10/06,4.5,Science Fiction,Long Series,"*completed, Space Opera, Indie, Epic Fantasy","Epic, Epic Fantasy, Fantasy, Fiction, Grimdark, High Fantasy, Horror, Military & War, Mystery, Space Opera, Speculative Fiction, Technology"
Jingo,Terry Pratchett,2025/10/01,3.75,Fantasy,Short Series,"Humor, Dragons, *completed, Epic Fantasy","Adventure, Dragons, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Humor, Military & War, Mystery, Politics, Science, Urban Fantasy, Young Adult"
"Tales of the Sun Eater, Volume 3",Christopher Ruocchio,2025/09/02,4.0,Science Fiction,Long Series,"Short Stories, *completed, Space Opera, Indie, Epic Fantasy","Epic, Epic Fantasy, Fantasy, Fiction, Grimdark, High Fantasy, Horror, Military & War, Mystery, Short Stories, Space Opera, Speculative Fiction, Technology"
The Dregs of Empire,Christopher Ruocchio,2025/08/26,4.5,Science Fiction,Long Series,"Short Stories, *completed, Space Opera, Indie, Epic Fantasy","Epic, Epic Fantasy, Fantasy, Fiction, Grimdark, High Fantasy, Horror, Military & War, Mystery, Short Stories, Space Opera, Technology"
"Tales of the Sun Eater, Volume 2",Christopher Ruocchio,2025/08/20,3.5,Science Fiction,Long Series,"Short Stories, *completed, Space Opera, Indie, Epic Fantasy","Epic, Epic Fantasy, Fantasy, Fiction, Grimdark, High Fantasy, Horror, Military & War, Mystery, Short Stories, Space Opera, Technology"
A Canticle for Leibowitz,Walter M. Miller Jr.,2025/08/16,4.75,Fantasy,Standalone,"Dystopian, *completed, Classics, Post-Apocalyptic","Christianity, Classics, Dystopian, Fantasy, Fiction, Military & War, Philosophy, Post-Apocalyptic, Religion, Science"
Feet of Clay,Terry Pratchett,2025/08/13,4.25,Fantasy,Short Series,"Humor, Dragons, *completed, Epic Fantasy","Adventure, Crime, Dragons, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Humor, Military & War, Mystery, Science, Urban Fantasy, Young Adult"
Isles of the Emberdark,Brandon Sanderson,2025/08/02,4.75,Fantasy,Standalone,"Epic Fantasy, Dragons, *completed","Adventure, Dragons, Epic, Fantasy, Fiction, High Fantasy"
Empire of Pain: The Secret History of the Sackler Dynasty,Patrick Radden Keefe,2025/07/26,4.5,Nonfiction,Standalone,"History, *completed, Biography, Nonfiction","Biography, Crime, Economics & Business, Health & Medicine, Historical Fiction, History, Journalism, Nonfiction, Politics, Science"
James,Percival Everett,2025/07/19,4.75,Historical Fiction,Standalone,"Humor, *completed, Historical Fiction","Adventure, Contemporary, Fiction, Historical Fiction, Humor, Literary, Social Issues"
Men at Arms,Terry Pratchett,2025/07/15,4.25,Fantasy,Short Series,"Humor, Dragons, *completed, Epic Fantasy","Adventure, Crime, Dragons, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Humor, Military & War, Mystery, Science, Urban Fantasy, Young Adult"
The Book That Held Her Heart,Mark Lawrence,2025/07/10,4.0,Fantasy,Short Series,"Romance, Humor, *completed, Indie, Time Travel, Epic Fantasy","Adventure, Dark Academia, Dystopian, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Humor, Mystery, Romance, Romantasy, Time Travel"
Guards! Guards!,Terry Pratchett,2025/07/07,4.75,Fantasy,Short Series,"Humor, Dragons, *completed, Epic Fantasy","Adventure, Crime, Dragons, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Humor, Military & War, Mystery, Science, Urban Fantasy, Young Adult"
Blood Over Bright Haven,M. L. Wang,2025/06/25,5.0,Fantasy,Standalone,"Epic Fantasy, *completed","Dark Academia, Dystopian, Epic, Fantasy, Fiction, Grimdark, High Fantasy, Romantasy"
Parable of the Sower,Octavia E. Butler,2025/06/23,2.75,Fantasy,Short Series,"Dystopian, Post-Apocalyptic, *completed","Coming of Age, Dystopian, Fantasy, Feminism, Fiction, Literary, Post-Apocalyptic, Religion, Social Issues"
A Drop of Corruption,Robert Jackson Bennett,2025/06/09,5.0,Fantasy,Short Series,"Urban Fantasy, Competence, *completed, Detective, Epic Fantasy","Adventure, Competence, Crime, Detective, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Horror, LGBTQ, Mystery, Thriller, Urban Fantasy"
The Devils,Joe Abercrombie,2025/06/04,4.0,Fantasy,Short Series,"Humor, Epic Fantasy, Historical Fiction","Fantasy, Horror, Fiction, Grimdark, Historical Fiction, High Fantasy, Epic, Adventure, Vampires, Humor, Speculative Fiction, Alternate History, Supernatural, Thriller"
The Fury of the Gods,John Gwynne,2025/05/31,4.5,Fantasy,Short Series,"Epic Fantasy, Dragons, *completed","Adventure, Dragons, Epic, Epic Fantasy, Fantasy, Fiction, Grimdark, High Fantasy, Mythology, Norse, Vikings"
Midnight in Chernobyl,Adam Higginbotham,2025/05/20,3.75,Nonfiction,Standalone,"History, *completed, Biography, Nonfiction","Asian, Biography, Cold War, Crime, Europe, History, Journalism, Nonfiction, Politics, Science"
The Hunger of the Gods,John Gwynne,2025/05/06,4.25,Fantasy,Short Series,"Epic Fantasy, Dragons, *completed","Adventure, Dragons, Epic, Epic Fantasy, Fantasy, Fiction, Grimdark, High Fantasy, Mythology, Norse, Vikings"
This Inevitable Ruin,Matt Dinniman,2025/05/01,4.5,Fantasy,Long Series,"Urban Fantasy, Dystopian, Humor, *completed, Indie, Progression Fantasy, Survival, Dragons, Post-Apocalyptic","Fantasy, LitRPG, Progression Fantasy, Science Fiction, Fiction, Humor, Adventure, Dystopian, Post-Apocalyptic, Aliens, Urban Fantasy, Speculative Fiction, Horror, Survival, Dragons"
The Player of Games,Iain M. Banks,2025/04/10,4.0,Science Fiction,Long Series,"Competence, *completed, Space Opera","Adventure, Aliens, Competence, Fantasy, Fiction, Horror, Military & War, Science, Science Fiction, Space Opera"
The Eye of the Bedlam Bride,Matt Dinniman,2025/04/03,4.75,Fantasy,Long Series,"Urban Fantasy, Dystopian, Humor, *completed, Indie, Progression Fantasy, Survival, Post-Apocalyptic","Fantasy, LitRPG, Progression Fantasy, Science Fiction, Fiction, Humor, Adventure, Dystopian, Aliens, Post-Apocalyptic, Urban Fantasy, Speculative Fiction, Horror, Survival"
The Shadow of the Gods,John Gwynne,2025/03/16,3.75,Fantasy,Short Series,"Epic Fantasy, Dragons, *completed","Adventure, Dragons, Epic, Epic Fantasy, Fantasy, Fiction, Grimdark, High Fantasy, Mythology, Norse"
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Erik Larson,2025/03/14,4.0,Nonfiction,Standalone,"History, *completed, Biography, Nonfiction","Biography, Crime, Europe, Germany, History, Holocaust, Military & War, Nonfiction, Politics, World War II"
The Butcher's Masquerade,Matt Dinniman,2025/03/06,5.0,Fantasy,Long Series,"Urban Fantasy, Dystopian, Humor, *completed, Indie, Progression Fantasy, Survival, Post-Apocalyptic","Fantasy, LitRPG, Progression Fantasy, Science Fiction, Fiction, Humor, Adventure, Dystopian, Post-Apocalyptic, Aliens, Urban Fantasy, Speculative Fiction, Horror, Survival"
Murder at Spindle Manor,Morgan Stang,2025/02/17,4.5,Fantasy,Short Series,"Urban Fantasy, Cozy, *completed, Indie, Detective, Supernatural Horror","Cozy, Crime, Detective, Fantasy, Fiction, Gothic, Grimdark, High Fantasy, Horror, Indie, Mystery, Steampunk, Supernatural, Supernatural Horror, Thriller, Urban Fantasy"
The Gate of the Feral Gods,Matt Dinniman,2025/02/06,4.25,Fantasy,Long Series,"Urban Fantasy, Dystopian, Humor, *completed, Indie, Progression Fantasy, Survival, Post-Apocalyptic","Fantasy, LitRPG, Progression Fantasy, Science Fiction, Fiction, Humor, Adventure, Dystopian, Post-Apocalyptic, Aliens, Urban Fantasy, Speculative Fiction, Horror, Survival"
Consider Phlebas,Iain M. Banks,2025/02/03,2.75,Science Fiction,Long Series,"Competence, *completed, Space Opera","Adventure, Aliens, Competence, Fantasy, Fiction, Horror, Military & War, Science, Science Fiction, Space Opera"
The Dungeon Anarchist's Cookbook,Matt Dinniman,2025/01/21,4.5,Fantasy,Long Series,"Urban Fantasy, Dystopian, Humor, *completed, Indie, Progression Fantasy, Survival, Monster Hunting, Post-Apocalyptic","Fantasy, LitRPG, Progression Fantasy, Science Fiction, Fiction, Humor, Adventure, Dystopian, Post-Apocalyptic, Aliens, Urban Fantasy, Speculative Fiction, Horror, Monster Hunting, Survival"
Hogfather,Terry Pratchett,2025/01/10,3.75,Fantasy,Short Series,"*completed, Humor","Adventure, Fantasy, Fiction, High Fantasy, Holiday, Humor, Science, Young Adult"
The Mercy of Gods,James S. A. Corey,2025/01/07,3.0,Science Fiction,Short Series,"First Contact, Dystopian, Space Opera","Science Fiction, Fiction, Space Opera, Fantasy, Aliens, Speculative Fiction, Adventure, Science, Young Adult, Dystopian, Military & War, First Contact, Thriller"
The Nightingale,Kristin Hannah,2024/12/29,5.0,Historical Fiction,Standalone,"Romance, *completed, Historical Fiction","Europe, Fiction, Historical Fiction, Holocaust, Literary, Military & War, Romance, World War II"
Wind and Truth,Brandon Sanderson,2024/12/18,4.75,Fantasy,Long Series,"Epic Fantasy, *completed","Adventure, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Military & War"
Carl's Doomsday Scenario,Matt Dinniman,2024/12/16,4.0,Fantasy,Long Series,"Urban Fantasy, Humor, Dystopian, *completed, Indie, Progression Fantasy, Post-Apocalyptic","Fantasy, LitRPG, Progression Fantasy, Science Fiction, Fiction, Humor, Adventure, Dystopian, Aliens, Post-Apocalyptic, Urban Fantasy, Speculative Fiction, Horror"
A Memory of Light,Robert Jordan & Brandon Sanderson,2024/11/30,5.0,Fantasy,Long Series,"Epic Fantasy, *completed","Adventure, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Middle Grade, Military & War"
Towers of Midnight,Robert Jordan & Brandon Sanderson,2024/11/16,4.75,Fantasy,Long Series,"Epic Fantasy, *completed","Adventure, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Military & War"
Bury Your Gays,Chuck Tingle,2024/11/08,4.75,Horror,Standalone,"Humor, Supernatural Horror, *completed","Contemporary, Fantasy, Fiction, Horror, Humor, LGBTQ, Mystery, Supernatural, Supernatural Horror, Thriller"
The Ballad of Black Tom,Victor Lavalle,2024/11/03,4.5,Fantasy,Standalone,"Urban Fantasy, Cosmic Horror, *completed, Short Stories, Historical Fiction","Cosmic Horror, Fantasy, Historical Fiction, Horror, Urban Fantasy"
The Library at Mount Char,Scott Hawkins,2024/10/30,4.5,Horror,Standalone,"Urban Fantasy, Dystopian, *completed","Fantasy, Horror, Fiction, Science Fiction, Mystery, Urban Fantasy, Speculative Fiction, Thriller, Magical Realism, Supernatural, Dark Academia, Grimdark, Contemporary, Dystopian, Mythology"
The Gathering Storm,Robert Jordan & Brandon Sanderson,2024/10/19,5.0,Fantasy,Long Series,"Epic Fantasy, *completed","Adventure, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Military & War"
The Paper Menagerie and Other Stories,Ken Liu,2024/09/17,4.75,Literary Fiction,Standalone,"*completed, Short Stories, Historical Fiction, Literary","Short Stories, Fantasy, Fiction, Science Fiction, Magical Realism, Historical Fiction, Speculative Fiction, History, Asian, Contemporary, Literary"
Knife of Dreams,Robert Jordan,2024/09/09,4.5,Fantasy,Long Series,"Epic Fantasy, *completed","Adventure, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Military & War"
Dungeon Crawler Carl,Matt Dinniman,2024/08/28,4.75,Fantasy,Long Series,"Urban Fantasy, Humor, Dystopian, *completed, Indie, Progression Fantasy, Post-Apocalyptic","Fantasy, Science Fiction, Fiction, LitRPG, Progression Fantasy, Humor, Adventure, Dystopian, Speculative Fiction, Post-Apocalyptic, Aliens, Urban Fantasy, Horror"
The Lesser Devil and Other Stories,Christopher Ruocchio,2024/08/07,4.0,Science Fiction,Long Series,"*completed, Short Stories, Space Opera, Indie, Epic Fantasy","Epic, Epic Fantasy, Fantasy, Fiction, Grimdark, High Fantasy, Horror, Military & War, Mystery, Short Stories, Space Opera, Technology"
New Spring,Robert Jordan,2024/08/05,4.5,Fantasy,Long Series,"Epic Fantasy, *completed","Adventure, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Military & War"
Yours Truly,Abby Jimenez,2024/07/26,4.5,Literary Fiction,Short Series,"Romance, *completed","Chick-lit, Contemporary, Fiction, Romance"
Best Served Cold,Joe Abercrombie,2024/07/19,5.0,Fantasy,Long Series,"Epic Fantasy, *completed","Adventure, Epic, Epic Fantasy, Fantasy, Fiction, Grimdark, High Fantasy, Military & War, Revenge"
Do Androids Dream of Electric Sheep?,Philip K. Dick,2024/07/08,4.75,Fantasy,Standalone,"Dystopian, *completed, Classics, Cyberpunk, Post-Apocalyptic","Classics, Cyberpunk, Dystopian, Fantasy, Fiction, Mystery, Philosophy, Post-Apocalyptic, Robots, Science, Thriller"
Neuromancer,William Gibson,2024/06/30,4.5,Science Fiction,Short Series,"Dystopian, *completed, Classics, Cyberpunk","Crime, Cyberpunk, Dystopian, Fantasy, Fiction, Science, Thriller"
Last Argument of Kings,Joe Abercrombie,2024/06/25,4.75,Fantasy,Long Series,"Epic Fantasy, *completed","Adventure, Epic, Epic Fantasy, Fantasy, Fiction, Grimdark, High Fantasy, Military & War"
The Hitchhiker’s Guide to the Galaxy,Douglas Adams,2024/06/24,4.5,Science Fiction,Short Series,"Humor, *completed, Space Opera, Classics","Adventure, Classics, Fiction, Humor, Science, Science Fiction, Space Opera"
The Left Hand of Darkness,Ursula K. le Guin,2024/06/19,3.25,Science Fiction,Short Series,"Classics, *completed, Space Opera","Adventure, Aliens, Classics, Feminism, Fiction, High Fantasy, LGBTQ, Military & War, Philosophy, Science, Science Fiction, Social Issues, Space Opera"
The Tainted Cup,Robert Jackson Bennett,2024/06/05,4.25,Fantasy,Short Series,"Urban Fantasy, Competence, *completed, Detective, Epic Fantasy","Competence, Crime, Detective, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Horror, LGBTQ, Mystery, Thriller, Urban Fantasy"
Before They Are Hanged,Joe Abercrombie,2024/05/27,4.5,Fantasy,Long Series,"Epic Fantasy, *completed","Adventure, Epic, Epic Fantasy, Fantasy, Fiction, Grimdark, High Fantasy, Military & War"
Good Omens,Neil Gaiman & Terry Pratchett,2024/05/21,4.0,Fantasy,Standalone,"Urban Fantasy, Humor, *completed, Supernatural Horror","Adventure, Christianity, Classics, Contemporary, Fantasy, Fiction, Horror, Humor, LGBTQ, Magical Realism, Mythology, Religion, Science Fiction, Speculative Fiction, Supernatural, Supernatural Horror, Urban Fantasy, Young Adult"
Ashes of Man,Christopher Ruocchio,2024/05/09,4.5,Science Fiction,Long Series,"*completed, Space Opera, Indie, Epic Fantasy","Epic, Epic Fantasy, Fantasy, Fiction, Grimdark, High Fantasy, Horror, Military & War, Mystery, Space Opera, Speculative Fiction, Technology"
The Blade Itself,Joe Abercrombie,2024/05/05,4.0,Fantasy,Long Series,"Epic Fantasy, *completed","Adventure, Epic, Epic Fantasy, Fantasy, Fiction, Grimdark, High Fantasy, Military & War"
The Logic of Sports Betting,Ed Miller & Matthew Davidow,2024/05/03,,Nonfiction,Standalone,"Indie, Nonfiction, *completed","Nonfiction, Sports"
Kingdoms of Death,Christopher Ruocchio,2024/04/29,4.5,Science Fiction,Long Series,"Indie, *completed, Space Opera","Aliens, Epic, Fiction, Grimdark, High Fantasy, Horror, Military & War, Mystery, Science Fiction, Space Opera, Technology"
The Book That Broke the World,Mark Lawrence,2024/04/19,4.25,Fantasy,Short Series,"Romance, Humor, *completed, Indie, Time Travel, Epic Fantasy","Adventure, Dark Academia, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Humor, Mystery, Romance, Time Travel"
Soul Music,Terry Pratchett,2024/04/11,4.5,Fantasy,Short Series,"*completed, Humor","Adventure, Fantasy, Fiction, High Fantasy, Humor, Music, Science, Young Adult"
Overdue,Mark Lawrence,2024/04/10,3.75,Fantasy,Short Series,"Indie, Humor, *completed","Dark Academia, Entertainment, Epic, Fiction, High Fantasy, Humor, Language, Mystery, Science Fiction, Writing"
The Book That Wouldn’t Burn,Mark Lawrence,2024/04/09,5.0,Fantasy,Short Series,"Romance, Humor, *completed, Indie, Time Travel, Epic Fantasy","Adventure, Dark Academia, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Humor, Mystery, Romance, Time Travel"
Crossroads of Twilight,Robert Jordan,2024/03/29,2.0,Fantasy,Long Series,"Epic Fantasy, *completed","Adventure, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Military & War"
Demon in White,Christopher Ruocchio,2024/03/17,5.0,Science Fiction,Long Series,"*completed, Space Opera, Indie, Epic Fantasy","Aliens, Epic, Epic Fantasy, Fantasy, Fiction, Grimdark, High Fantasy, Horror, Military & War, Mystery, Space Opera, Technology"
Carpe Jugulum,Terry Pratchett,2024/02/26,4.75,Fantasy,Short Series,"*completed, Humor","Adventure, Fantasy, Fiction, High Fantasy, Humor, Mystery, Science, Supernatural, Vampires, Young Adult"
Howling Dark,Christopher Ruocchio,2024/02/15,4.75,Science Fiction,Long Series,"*completed, Space Opera, Indie, Epic Fantasy","Aliens, Epic, Epic Fantasy, Fantasy, Fiction, Grimdark, High Fantasy, Horror, Military & War, Mystery, Space Opera, Technology"
"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",Erik Larson,2024/02/10,3.75,Nonfiction,Standalone,"History, *completed, Biography, Nonfiction","Biography, Crime, History, Horror, Mystery, Nonfiction, Thriller"
Winter's Heart,Robert Jordan,2024/01/23,4.5,Fantasy,Long Series,"Epic Fantasy, *completed","Adventure, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Military & War"
Kindred,Octavia E. Butler,2024/01/19,5.0,Science Fiction,Standalone,"*completed, Historical Fiction, Classics, Time Travel","Classics, Fantasy, Feminism, Fiction, Historical Fiction, Horror, Literary, Magical Realism, Social Issues, Time Travel"
Empire of Silence,Christopher Ruocchio,2024/01/12,4.5,Science Fiction,Long Series,"Indie, *completed, Space Opera","Adventure, Space Opera, Science Fiction"
Prosper's Demon,K. J. Parker,2023/12/27,4.25,Fantasy,Short Series,"Humor, Competence, *completed, Short Stories, Supernatural Horror","Christianity, Competence, Fantasy, Fiction, Gothic, Grimdark, High Fantasy, Horror, Humor, Mystery, Short Stories, Supernatural, Supernatural Horror"
Dune Messiah,Frank Herbert,2023/12/25,3.75,Fantasy,Short Series,"Dystopian, *completed, Space Opera, Classics, Epic Fantasy","Adventure, Classics, Dystopian, Epic, Fantasy, Fiction, Philosophy, Politics, Religion, Science, Space Opera"
The Advent of Winter,Dom McDermott & Thiago Abdalla & Kian N. Ardalan & Zack Argyle & Cal Black & Ryan Cahill & T. L. Greylock & Tim Hardie & Natalie Kelda & Christer Lende & L. L. MacRae & Andrew D. Meredith & H. C. Newell & Tatiana Obey & Quenby Olson & Palmer Pickering & J. D. L. Rosell & Kerstin Espinosa Rosero & D. W. Ross & Karim Soliman & Tori Tecken & Jim Wilbourne & A. R. Witham & H.l.tinsley,2023/12/24,,Fantasy,Standalone,"Indie, Short Stories, *completed","Fantasy, Fiction, Indie, Short Stories"
The Path of Daggers,Robert Jordan,2023/12/19,3.25,Fantasy,Long Series,"Epic Fantasy, *completed","Adventure, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Military & War"
And Then There Were None,Agatha Christie,2023/12/15,4.25,Crime Fiction,Standalone,"Detective, Classics, *completed","British, Crime, Detective, Fiction, Horror, Mystery, Thriller"
The Road,Cormac McCarthy,2023/12/09,4.75,Literary Fiction,Standalone,"Survival, Post-Apocalyptic, *completed","Adventure, Contemporary, Dystopian, Fantasy, Fiction, Horror, Literary, Post-Apocalyptic, Survival, Thriller"
Iron Flame,Rebecca Yarros,2023/11/30,3.75,Fantasy,Short Series,"Romance, Dragons, *completed","Adventure, Dragons, Fantasy, Fiction, High Fantasy, Military & War, Romance, Romantasy"
Fourth Wing,Rebecca Yarros,2023/11/20,2.75,Fantasy,Short Series,"Romance, Dragons, *completed","Adventure, Dragons, Fantasy, Fiction, High Fantasy, Military & War, Romance, Romantasy"
Dracula,Bram Stoker,2023/11/07,4.0,Horror,Standalone,"Romance, *completed, Historical Fiction, Classics, Supernatural Horror","Classics, Dark Academia, Epistolary, Fantasy, Fiction, Gothic, Horror, Ireland, Mystery, Supernatural, Supernatural Horror, Thriller, Vampires"
A Crown of Swords,Robert Jordan,2023/11/04,3.0,Fantasy,Long Series,"Epic Fantasy, *completed","Adventure, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Military & War"
I Am Legend,Richard Matheson,2023/10/31,4.25,Horror,Standalone,"*completed, Survival, Short Stories, Post-Apocalyptic, Classics, Supernatural Horror","Dystopian, Fantasy, Fiction, Horror, Post-Apocalyptic, Science, Short Stories, Supernatural, Supernatural Horror, Survival, Thriller, Vampires, Zombies"
